trial,trial_type,event_type,absolute_time,response_time,response,result
NA,NA,2,0.00009999999985943475,NA,NA,NA
0,INSTRUCTIONS,8,0.0030000000000001137,NA,NA,NA
NA,RATE_FACES,8,499.26380000000006,NA,NA,NA
0,RATE_FACES,4,499.27509999999984,,,
0,RATE_FACES,7,501.28369999999995,2.0025000000000546,right,correct
0,RATE_FACES,9,501.60119999999995,NA,NA,NA
1,RATE_FACES,4,502.6005999999999,,,
1,RATE_FACES,7,503.342,0.7342000000002145,left,correct
1,RATE_FACES,9,503.65739999999994,NA,NA,NA
2,RATE_FACES,4,504.6645,,,
2,RATE_FACES,7,506.1480999999999,1.4701000000001159,left,incorrect
2,RATE_FACES,7,507.20899999999995,1.038000000000011,right,correct
3,RATE_FACES,4,508.5288999999999,,,
3,RATE_FACES,7,509.47450000000003,0.9421999999999571,right,correct
3,RATE_FACES,9,509.7898,NA,NA,NA
4,RATE_FACES,4,510.81089999999995,,,
4,RATE_FACES,7,511.50749999999994,0.6914000000000442,left,correct
4,RATE_FACES,9,511.82269999999994,NA,NA,NA
5,RATE_FACES,4,512.8445,,,
5,RATE_FACES,7,514.1570999999999,1.3061999999998761,right,correct
5,RATE_FACES,9,514.473,NA,NA,NA
6,RATE_FACES,4,515.4952,,,
6,RATE_FACES,7,516.2235,0.7193000000000893,left,correct
6,RATE_FACES,9,516.5390999999998,NA,NA,NA
7,RATE_FACES,4,517.5623,,,
7,RATE_FACES,7,518.389,0.8137999999997874,right,correct
7,RATE_FACES,9,518.7052,NA,NA,NA
8,RATE_FACES,4,519.7113,,,
8,RATE_FACES,7,520.6228,0.9004999999999654,left,correct
8,RATE_FACES,9,520.9386999999999,NA,NA,NA
9,RATE_FACES,4,521.9641999999999,,,
9,RATE_FACES,7,523.0723999999999,1.1065000000000964,left,correct
9,RATE_FACES,9,523.3880999999999,NA,NA,NA
10,RATE_FACES,4,524.3955,,,
10,RATE_FACES,7,525.0377,0.6338000000000648,left,correct
10,RATE_FACES,9,525.3376999999999,NA,NA,NA
11,RATE_FACES,4,526.3611999999999,,,
11,RATE_FACES,7,527.2221999999999,0.8536000000001422,right,correct
11,RATE_FACES,9,527.5378000000001,NA,NA,NA
12,RATE_FACES,4,528.561,,,
12,RATE_FACES,7,529.2215999999999,0.6504000000001042,left,correct
12,RATE_FACES,9,529.5373999999999,NA,NA,NA
13,RATE_FACES,4,530.5596999999999,,,
13,RATE_FACES,7,532.2880999999999,1.7191000000001395,right,correct
13,RATE_FACES,9,532.6036999999999,NA,NA,NA
14,RATE_FACES,4,533.6258999999999,,,
14,RATE_FACES,7,535.1047,1.4685000000000628,right,correct
14,RATE_FACES,9,535.42,NA,NA,NA
15,RATE_FACES,4,536.4427,,,
15,RATE_FACES,7,537.2715,0.8163999999999305,left,incorrect
15,RATE_FACES,7,538.2375999999998,0.9447000000000116,right,correct
16,RATE_FACES,4,539.5588999999999,,,
16,RATE_FACES,7,540.8536999999999,1.2881000000000995,left,correct
16,RATE_FACES,9,541.1688999999999,NA,NA,NA
17,RATE_FACES,4,542.1753,,,
