trial,trial_type,event_type,absolute_time,response_time,response,result
NA,NA,2,0,NA,NA,NA
0,INSTRUCTIONS,8,0.0019999999999988916,NA,NA,NA
NA,RATE_FACES,8,239.47700000000003,NA,NA,NA
0,RATE_FACES,4,239.485,,,
0,RATE_FACES,7,241.106,1.6189999999999714,right,correct
0,RATE_FACES,9,241.414,NA,NA,NA
1,RATE_FACES,4,242.416,,,
1,RATE_FACES,7,243.175,0.7560000000000286,left,correct
1,RATE_FACES,9,243.47899999999998,NA,NA,NA
2,RATE_FACES,4,244.483,,,
2,RATE_FACES,7,246.44600000000003,1.9599999999999795,right,correct
2,RATE_FACES,9,246.75,NA,NA,NA
3,RATE_FACES,4,247.75400000000002,,,
3,RATE_FACES,7,248.577,0.8220000000000027,right,correct
3,RATE_FACES,9,248.88299999999998,NA,NA,NA
4,RATE_FACES,4,249.88600000000002,,,
4,RATE_FACES,7,250.98700000000002,1.0989999999999895,left,correct
4,RATE_FACES,9,251.29200000000003,NA,NA,NA
5,RATE_FACES,4,252.298,,,
5,RATE_FACES,7,252.973,0.6730000000000018,right,correct
5,RATE_FACES,9,253.27800000000002,NA,NA,NA
6,RATE_FACES,4,254.28199999999998,,,
6,RATE_FACES,7,255.11200000000002,0.8290000000000077,left,correct
6,RATE_FACES,9,255.41700000000003,NA,NA,NA
7,RATE_FACES,4,256.421,,,
7,RATE_FACES,7,257.361,0.9390000000000214,right,correct
7,RATE_FACES,9,257.66700000000003,NA,NA,NA
8,RATE_FACES,4,258.67,,,
8,RATE_FACES,7,259.355,0.6829999999999927,left,correct
8,RATE_FACES,9,259.66,NA,NA,NA
9,RATE_FACES,4,260.663,,,
9,RATE_FACES,7,261.486,0.8220000000000027,left,correct
9,RATE_FACES,9,261.79200000000003,NA,NA,NA
10,RATE_FACES,4,262.796,,,
10,RATE_FACES,7,263.431,0.6330000000000382,left,correct
10,RATE_FACES,9,263.736,NA,NA,NA
11,RATE_FACES,4,264.73900000000003,,,
11,RATE_FACES,7,265.806,1.0649999999999977,right,correct
11,RATE_FACES,9,266.111,NA,NA,NA
12,RATE_FACES,4,267.115,,,
12,RATE_FACES,7,268.75,1.6340000000000146,left,correct
12,RATE_FACES,9,269.057,NA,NA,NA
13,RATE_FACES,4,270.06600000000003,,,
13,RATE_FACES,7,270.758,0.6889999999999645,right,correct
13,RATE_FACES,9,271.062,NA,NA,NA
14,RATE_FACES,4,272.06600000000003,,,
14,RATE_FACES,7,273.535,1.467999999999961,right,correct
14,RATE_FACES,9,273.84000000000003,NA,NA,NA
15,RATE_FACES,4,274.844,,,
15,RATE_FACES,7,275.869,1.0230000000000246,right,correct
15,RATE_FACES,9,276.173,NA,NA,NA
16,RATE_FACES,4,277.177,,,
16,RATE_FACES,7,277.967,0.7869999999999777,left,correct
16,RATE_FACES,9,278.271,NA,NA,NA
17,RATE_FACES,4,279.274,,,
17,RATE_FACES,7,279.937,0.6610000000000014,right,correct
17,RATE_FACES,9,280.242,NA,NA,NA
18,RATE_FACES,4,281.247,,,
18,RATE_FACES,7,282.285,1.0360000000000014,left,correct
18,RATE_FACES,9,282.59000000000003,NA,NA,NA
19,RATE_FACES,4,283.601,,,
19,RATE_FACES,7,284.25,0.6469999999999914,right,correct
19,RATE_FACES,9,284.556,NA,NA,NA
20,RATE_FACES,4,285.558,,,
20,RATE_FACES,7,286.396,0.8350000000000364,left,correct
20,RATE_FACES,9,286.701,NA,NA,NA
21,RATE_FACES,4,287.71500000000003,,,
21,RATE_FACES,7,288.494,0.7769999999999868,left,correct
21,RATE_FACES,9,288.798,NA,NA,NA
22,RATE_FACES,4,289.802,,,
22,RATE_FACES,7,290.46500000000003,0.6610000000000014,left,correct
22,RATE_FACES,9,290.771,NA,NA,NA
23,RATE_FACES,4,291.781,,,
23,RATE_FACES,7,292.688,0.9050000000000296,right,correct
23,RATE_FACES,9,292.994,NA,NA,NA
0,PRACTICE,8,294.004,NA,NA,NA
0,PRACTICE2,8,309.314,NA,NA,NA
NA,PRACTICE,8,333.12100000000004,NA,NA,NA
NA,PRACTICE,3,333.125,NA,NA,NA
0,angry_high,5,336.127,NA,NA,high
0,angry_high,11,337.332,NA,NA,NA
0,angry_high,12,339.34700000000004,2.0089999999999577,right,incorrect
0,angry_high,6,340.358,NA,NA,NA
0,angry_high,9,341.265,NA,-200,too slow angry
NA,angry_high,3,342.764,NA,NA,NA
1,sad_high,5,344.766,NA,NA,high
1,sad_high,11,345.97,NA,NA,NA
1,sad_high,12,346.624,0.6510000000000105,right,correct
1,sad_high,6,347.633,NA,NA,NA
1,sad_high,9,348.543,NA,-200,too slow sad
NA,sad_high,3,350.034,NA,NA,NA
2,angry_low,5,353.035,NA,NA,low
2,angry_low,11,354.23400000000004,NA,NA,NA
2,angry_low,12,355.057,0.8179999999999836,right,incorrect
2,angry_low,6,356.06600000000003,NA,NA,NA
2,angry_low,9,356.975,NA,-200,too slow angry
NA,angry_low,3,358.471,NA,NA,NA
3,sad_low,5,360.475,NA,NA,low
3,sad_low,11,361.67900000000003,NA,NA,NA
3,sad_low,12,362.083,0.39999999999997726,left,incorrect
3,sad_low,6,363.091,NA,NA,NA
3,sad_low,9,363.99600000000004,NA,-200,too slow sad
NA,sad_low,3,365.492,NA,NA,NA
0,MAIN,8,368.494,NA,NA,NA
NA,MAIN,8,391.7,NA,NA,NA
NA,MAIN,3,391.704,NA,NA,NA
0,angry_low,5,394.70300000000003,NA,NA,low
0,angry_low,11,395.901,NA,NA,NA
0,angry_low,12,396.332,0.42500000000001137,right,incorrect
0,angry_low,6,397.342,NA,NA,NA
0,angry_low,9,398.152,NA,-200,too slow angry
NA,angry_low,3,399.651,NA,NA,NA
1,sad_high,5,401.653,NA,NA,high
1,sad_high,11,402.858,NA,NA,NA
1,sad_high,12,403.171,0.3089999999999691,right,correct
1,sad_high,6,404.181,NA,NA,NA
1,sad_high,7,404.887,0.7050000000000409,right,correct
1,sad_high,9,404.988,NA,-14,correct sad
1,sad_high,3,406.491,NA,NA,NA
2,angry_low,5,409.493,NA,NA,low
2,angry_low,11,410.69100000000003,NA,NA,NA
