trial,trial_type,event_type,absolute_time,response_time,response,result
NA,NA,2,0,NA,NA,NA
0,INSTRUCTIONS,8,0.0018000000007454275,NA,NA,NA
NA,RATE_FACES,8,217.23240000000226,NA,NA,NA
0,RATE_FACES,4,217.23530000000076,,,
0,RATE_FACES,7,218.63700000000003,1.3851999999992586,right,correct
0,RATE_FACES,9,218.95290000000224,NA,NA,NA
1,RATE_FACES,4,219.95740000000225,,,
1,RATE_FACES,7,220.6351000000015,0.6681999999992456,left,correct
1,RATE_FACES,9,220.9511000000015,NA,NA,NA
2,RATE_FACES,4,221.95469999999926,,,
2,RATE_FACES,7,223.33510000000152,1.3699000000022465,right,correct
2,RATE_FACES,9,223.65040000000226,NA,NA,NA
3,RATE_FACES,4,224.65530000000075,,,
3,RATE_FACES,7,225.4351000000015,0.7683000000007496,right,correct
3,RATE_FACES,9,225.75090000000225,NA,NA,NA
4,RATE_FACES,4,226.75480000000076,,,
4,RATE_FACES,7,227.60190000000225,0.8328000000007592,left,correct
4,RATE_FACES,9,227.9176999999993,NA,NA,NA
5,RATE_FACES,4,228.9381000000015,,,
5,RATE_FACES,7,229.6016000000015,0.6623999999985131,right,correct
5,RATE_FACES,9,229.91780000000077,NA,NA,NA
6,RATE_FACES,4,230.92140000000225,,,
6,RATE_FACES,7,231.5511000000015,0.6280000000000143,left,correct
6,RATE_FACES,9,231.86769999999927,NA,NA,NA
7,RATE_FACES,4,232.88790000000225,,,
7,RATE_FACES,7,233.63500000000002,0.7328999999984944,right,correct
7,RATE_FACES,9,233.95119999999926,NA,NA,NA
8,RATE_FACES,4,234.95480000000074,,,
8,RATE_FACES,7,235.55180000000078,0.5827999999970075,left,correct
8,RATE_FACES,9,235.86780000000076,NA,NA,NA
9,RATE_FACES,4,236.88940000000227,,,
9,RATE_FACES,7,237.768,0.8675999999977648,right,incorrect
9,RATE_FACES,7,239.41830000000076,1.6165999999977885,left,correct
10,RATE_FACES,4,240.73830000000075,,,
10,RATE_FACES,7,241.4675,0.720800000000736,left,correct
10,RATE_FACES,9,241.76769999999928,NA,NA,NA
11,RATE_FACES,4,242.78780000000077,,,
11,RATE_FACES,7,244.2181000000015,1.4166000000014947,left,incorrect
11,RATE_FACES,7,245.919,1.6706999999992718,right,correct
12,RATE_FACES,4,247.2396000000015,,,
12,RATE_FACES,7,249.11890000000224,1.8643000000007532,right,incorrect
12,RATE_FACES,7,250.76869999999926,1.6200000000000045,left,correct
13,RATE_FACES,4,252.08850000000004,,,
13,RATE_FACES,7,253.0181000000015,0.9154999999999518,right,correct
13,RATE_FACES,9,253.33460000000153,NA,NA,NA
14,RATE_FACES,4,254.338,,,
14,RATE_FACES,7,256.10119999999927,1.749900000002242,left,incorrect
14,RATE_FACES,7,258.11899999999997,1.9868999999985135,right,correct
15,RATE_FACES,4,259.45519999999925,,,
15,RATE_FACES,7,261.13490000000223,1.6742000000029975,right,correct
15,RATE_FACES,9,261.43480000000073,NA,NA,NA
16,RATE_FACES,4,262.4549000000022,,,
16,RATE_FACES,7,263.15169999999927,0.682299999997042,left,correct
16,RATE_FACES,9,263.4679000000022,NA,NA,NA
17,RATE_FACES,4,264.4719000000022,,,
17,RATE_FACES,7,265.4846000000015,1.0071000000015147,right,correct
17,RATE_FACES,9,265.7845,NA,NA,NA
18,RATE_FACES,4,266.78869999999927,,,
18,RATE_FACES,7,268.13519999999926,1.332300000000771,left,correct
18,RATE_FACES,9,268.45119999999923,NA,NA,NA
19,RATE_FACES,4,269.456,,,
19,RATE_FACES,7,270.3186000000015,0.8505999999977689,right,correct
19,RATE_FACES,9,270.61819999999926,NA,NA,NA
20,RATE_FACES,4,271.63819999999924,,,
20,RATE_FACES,7,273.60060000000146,1.9557000000029916,left,correct
20,RATE_FACES,9,273.90130000000073,NA,NA,NA
21,RATE_FACES,4,274.90560000000147,,,
21,RATE_FACES,7,276.8676999999992,1.9486000000015338,left,correct
21,RATE_FACES,9,277.16790000000225,NA,NA,NA
22,RATE_FACES,4,278.18740000000224,,,
22,RATE_FACES,7,278.96860000000146,0.7665999999977657,left,correct
22,RATE_FACES,9,279.28469999999925,NA,NA,NA
23,RATE_FACES,4,280.2881999999992,,,
23,RATE_FACES,7,281.53530000000075,1.24580000000077,left,incorrect
23,RATE_FACES,7,283.9189000000022,2.3543999999985203,right,correct
0,PRACTICE,8,285.24030000000073,NA,NA,NA
0,PRACTICE2,8,296.6461999999992,NA,NA,NA
NA,PRACTICE,8,309.5795,NA,NA,NA
NA,PRACTICE,3,309.58030000000076,NA,NA,NA
0,angry_high,5,312.5879000000022,NA,NA,high
0,angry_high,11,313.818,NA,NA,NA
0,angry_high,12,315.0525,1.2198999999985176,right,incorrect
0,angry_high,6,316.0728000000007,NA,NA,NA
0,angry_high,9,317.00119999999924,NA,-200,too slow angry
NA,angry_high,3,318.4863000000007,NA,NA,NA
1,sad_high,5,320.49649999999997,NA,NA,high
1,sad_high,11,321.7006000000015,NA,NA,NA
1,sad_high,12,322.65219999999925,0.9361000000014883,left,incorrect
1,sad_high,6,323.6719000000022,NA,NA,NA
1,sad_high,7,324.4504000000022,0.7711999999992827,left,incorrect
1,sad_high,9,324.586,NA,-50,wrong sad
1,sad_high,3,326.10090000000224,NA,NA,NA
2,angry_low,5,329.11310000000145,NA,NA,low
2,angry_low,11,330.31830000000076,NA,NA,NA
2,angry_low,12,332.0461000000015,1.7011000000014747,right,incorrect
2,angry_low,6,333.05260000000146,NA,NA,NA
2,angry_low,7,333.7015,0.6375000000000455,right,incorrect
2,angry_low,9,333.9679000000022,NA,-50,wrong angry
2,angry_low,3,335.46830000000074,NA,NA,NA
3,sad_low,5,337.4874000000022,NA,NA,low
3,sad_low,11,338.7016999999992,NA,NA,NA
3,sad_low,12,339.08530000000076,0.36800000000005184,left,incorrect
