trial_number,response,observed,intensity
0,NaN,1,0.75
1,NaN,1,1
2,NaN,1,0.75
3,NaN,1,1
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,0.75
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,0,0
12,0,1,1
13,0,1,0.75
14,0,0,0.25
15,0,1,1
16,1,1,0.75
17,0,0,0
18,1,1,0.75
19,0,1,1
20,0,1,0.75
21,1,0,0
22,1,0,0.25
23,1,1,1
24,1,1,1
25,0,1,0.75
26,0,1,1
27,0,1,0.75
28,1,1,0.75
29,0,0,0
30,0,1,0.75
31,0,1,1
32,1,1,0.75
33,0,1,1
34,1,1,0.75
35,0,1,1
36,1,0,0.25
37,0,1,1
38,1,1,1
39,1,1,1
40,0,0,0.25
41,1,1,0.75
42,0,1,1
43,0,1,0.75
44,0,0,0.25
45,1,1,0.75
46,0,1,1
47,1,1,0.75
48,1,0,0
49,1,1,0.75
50,0,0,0
51,0,0,0.25
52,1,0,0
53,0,0,0
54,0,0,0.25
55,0,0,0
56,0,0,0.25
57,0,0,0
58,1,0,0
59,1,0,0
60,0,1,0.75
61,1,0,0.25
62,1,0,0
63,0,0,0
64,1,1,0.75
65,1,0,0.25
66,0,0,0
67,1,1,0.75
68,0,0,0
69,0,0,0.25
70,1,1,1
71,1,0,0
72,0,1,0.75
73,0,0,0
74,1,0,0
75,0,1,0.75
76,0,0,0
77,NaN,0,0
78,1,0,0
79,0,0,0.25
80,1,1,1
81,1,0,0.25
82,1,0,0.25
83,1,0,0
84,1,0,0
85,1,1,0.75
86,0,0,0
87,1,0,0.25
88,0,0,0
89,1,0,0.25
90,0,0,0.25
91,1,0,0
92,1,1,1
93,0,0,0.25
94,1,1,1
95,0,0,0.25
96,0,0,0.25
97,1,0,0
98,1,0,0
99,0,0,0
100,0,1,0.75
101,1,0,0
102,1,0,0.25
103,0,1,1
104,0,0,0.25
105,0,0,0
106,0,1,1
107,1,0,0
108,0,1,0.75
109,1,0,0.25
110,1,1,1
111,0,1,0.75
112,1,1,1
113,1,1,0.75
114,0,1,1
115,1,1,0.75
116,0,1,1
117,0,1,0.75
118,0,1,1
119,0,1,0.75
120,1,1,0.75
121,1,1,1
122,1,1,0.75
123,1,1,1
124,1,0,0.25
125,0,1,1
126,1,1,1
127,1,1,0.75
128,0,0,0.25
129,0,1,1
130,1,1,1
131,0,1,0.75
132,0,0,0
133,0,1,0.75
134,0,1,1
135,1,1,0.75
136,1,1,1
137,0,1,1
138,1,1,1
139,0,1,0.75
140,1,0,0.25
141,1,0,0
142,0,0,0.25
143,0,0,0
144,1,0,0.25
145,0,0,0
146,0,0,0.25
147,1,0,0
148,1,0,0
149,0,0,0.25
150,0,0,0.25
151,1,0,0
152,0,1,1
153,0,0,0.25
154,0,1,0.75
155,0,0,0
156,1,0,0.25
157,0,0,0
158,1,0,0.25
159,0,0,0.25
160,0,0,0.25
161,1,0,0.25
162,0,0,0
163,1,0,0.25
164,0,0,0
165,0,0,0.25
166,0,1,0.75
167,NaN,0,0
168,0,0,0
169,1,0,0.25
170,0,1,1
171,1,1,0.75
172,0,1,0.75
173,1,1,1
174,0,1,0.75
175,1,1,1
176,1,1,0.75
177,1,1,1
178,0,1,0.75
179,0,1,0.75
180,1,1,1
181,1,0,0
182,0,1,1
183,1,1,0.75
184,1,1,1
185,0,0,0.25
186,1,1,1
187,1,1,0.75
188,0,1,0.75
189,1,1,1
190,0,1,0.75
191,0,0,0
192,0,1,1
193,1,1,0.75
194,1,1,1
195,1,1,0.75
196,0,1,0.75
197,0,1,1
198,0,1,0.75
199,0,1,1
