trial_number,response,observed,intensity
0,NaN,1,0.75
1,0,1,1
2,0,1,0.75
3,1,1,1
4,0,1,1
5,0,1,0.75
6,0,1,0.75
7,1,1,0.75
8,NaN,1,1
9,0,1,0.75
10,NaN,1,0.75
11,1,0,0
12,NaN,1,1
13,NaN,1,0.75
14,NaN,0,0.25
15,NaN,1,1
16,1,1,0.75
17,1,0,0
18,0,1,0.75
19,1,1,1
20,1,1,0.75
21,NaN,0,0
22,NaN,0,0.25
23,NaN,1,1
24,NaN,1,1
25,1,1,0.75
26,1,1,1
27,NaN,1,0.75
28,1,1,0.75
29,0,0,0
30,1,1,0.75
31,NaN,1,1
32,1,1,0.75
33,NaN,1,1
34,0,1,0.75
35,1,1,1
36,NaN,0,0.25
37,0,1,1
38,0,1,1
39,1,1,1
40,0,0,0.25
41,NaN,1,0.75
42,0,1,1
43,1,1,0.75
44,NaN,0,0.25
45,NaN,1,0.75
46,NaN,1,1
47,0,1,0.75
48,0,0,0
49,NaN,1,0.75
50,1,0,0
51,1,0,0.25
52,0,0,0
53,0,0,0
54,NaN,0,0.25
55,1,0,0
56,1,0,0.25
57,1,0,0
58,0,0,0
59,NaN,0,0
60,NaN,1,0.75
61,1,0,0.25
62,0,0,0
63,NaN,0,0
64,NaN,1,0.75
65,NaN,0,0.25
66,0,0,0
67,1,1,0.75
68,NaN,0,0
69,NaN,0,0.25
70,0,1,1
71,NaN,0,0
72,1,1,0.75
73,1,0,0
74,1,0,0
75,1,1,0.75
76,0,0,0
77,NaN,0,0
78,0,0,0
79,NaN,0,0.25
80,1,1,1
81,1,0,0.25
82,0,0,0.25
83,NaN,0,0
84,0,0,0
85,1,1,0.75
86,NaN,0,0
87,1,0,0.25
88,0,0,0
89,0,0,0.25
90,1,0,0.25
91,0,0,0
92,1,1,1
93,0,0,0.25
94,1,1,1
95,NaN,0,0.25
96,NaN,0,0.25
97,1,0,0
98,1,0,0
99,0,0,0
100,0,1,0.75
101,NaN,0,0
102,0,0,0.25
103,0,1,1
104,1,0,0.25
105,0,0,0
106,0,1,1
107,NaN,0,0
108,0,1,0.75
109,1,0,0.25
110,1,1,1
111,NaN,1,0.75
112,0,1,1
113,0,1,0.75
114,0,1,1
115,0,1,0.75
116,NaN,1,1
117,1,1,0.75
118,NaN,1,1
119,0,1,0.75
120,0,1,0.75
121,0,1,1
122,1,1,0.75
123,1,1,1
124,1,0,0.25
125,NaN,1,1
126,0,1,1
127,NaN,1,0.75
128,1,0,0.25
129,1,1,1
130,1,1,1
131,1,1,0.75
132,0,0,0
133,0,1,0.75
134,1,1,1
135,0,1,0.75
136,NaN,1,1
137,1,1,1
138,0,1,1
139,1,1,0.75
140,0,0,0.25
141,NaN,0,0
142,0,0,0.25
143,0,0,0
144,0,0,0.25
145,0,0,0
146,0,0,0.25
147,1,0,0
148,0,0,0
149,0,0,0.25
150,NaN,0,0.25
151,1,0,0
152,1,1,1
153,NaN,0,0.25
154,0,1,0.75
155,0,0,0
156,1,0,0.25
157,1,0,0
158,NaN,0,0.25
159,0,0,0.25
160,NaN,0,0.25
161,1,0,0.25
162,1,0,0
163,1,0,0.25
164,1,0,0
165,0,0,0.25
166,1,1,0.75
167,0,0,0
168,NaN,0,0
169,0,0,0.25
170,NaN,1,1
171,0,1,0.75
172,1,1,0.75
173,0,1,1
174,NaN,1,0.75
175,NaN,1,1
176,0,1,0.75
177,0,1,1
178,NaN,1,0.75
179,0,1,0.75
180,1,1,1
181,0,0,0
182,0,1,1
183,1,1,0.75
184,NaN,1,1
185,0,0,0.25
186,0,1,1
187,1,1,0.75
188,1,1,0.75
189,1,1,1
190,0,1,0.75
191,1,0,0
192,NaN,1,1
193,0,1,0.75
194,NaN,1,1
195,1,1,0.75
196,NaN,1,0.75
197,1,1,1
198,0,1,0.75
199,1,1,1
