trial_number,response,observed,intensity
0,1,1,0.75
1,1,1,1
2,1,1,0.75
3,1,1,1
4,0,1,1
5,0,1,0.75
6,NaN,1,0.75
7,1,1,0.75
8,0,1,1
9,NaN,1,0.75
10,0,1,0.75
11,1,0,0
12,1,1,1
13,0,1,0.75
14,1,0,0.25
15,NaN,1,1
16,NaN,1,0.75
17,0,0,0
18,NaN,1,0.75
19,0,1,1
20,NaN,1,0.75
21,1,0,0
22,0,0,0.25
23,NaN,1,1
24,NaN,1,1
25,1,1,0.75
26,0,1,1
27,1,1,0.75
28,NaN,1,0.75
29,1,0,0
30,1,1,0.75
31,1,1,1
32,NaN,1,0.75
33,0,1,1
34,0,1,0.75
35,NaN,1,1
36,1,0,0.25
37,1,1,1
38,NaN,1,1
39,1,1,1
40,1,0,0.25
41,0,1,0.75
42,1,1,1
43,1,1,0.75
44,NaN,0,0.25
45,NaN,1,0.75
46,NaN,1,1
47,1,1,0.75
48,0,0,0
49,1,1,0.75
50,0,0,0
51,NaN,0,0.25
52,NaN,0,0
53,1,0,0
54,NaN,0,0.25
55,1,0,0
56,NaN,0,0.25
57,0,0,0
58,1,0,0
59,0,0,0
60,NaN,1,0.75
61,NaN,0,0.25
62,1,0,0
63,1,0,0
64,1,1,0.75
65,NaN,0,0.25
66,0,0,0
67,0,1,0.75
68,NaN,0,0
69,NaN,0,0.25
70,0,1,1
71,NaN,0,0
72,NaN,1,0.75
73,0,0,0
74,1,0,0
75,1,1,0.75
76,0,0,0
77,1,0,0
78,NaN,0,0
79,NaN,0,0.25
80,1,1,1
81,0,0,0.25
82,1,0,0.25
83,1,0,0
84,1,0,0
85,NaN,1,0.75
86,0,0,0
87,1,0,0.25
88,NaN,0,0
89,0,0,0.25
90,NaN,0,0.25
91,NaN,0,0
92,1,1,1
93,0,0,0.25
94,0,1,1
95,1,0,0.25
96,0,0,0.25
97,1,0,0
98,NaN,0,0
99,1,0,0
100,NaN,1,0.75
101,1,0,0
102,1,0,0.25
103,0,1,1
104,0,0,0.25
105,0,0,0
106,1,1,1
107,NaN,0,0
108,1,1,0.75
109,0,0,0.25
110,NaN,1,1
111,NaN,1,0.75
112,NaN,1,1
113,NaN,1,0.75
114,0,1,1
115,1,1,0.75
116,NaN,1,1
117,0,1,0.75
118,NaN,1,1
119,0,1,0.75
120,0,1,0.75
121,NaN,1,1
122,0,1,0.75
123,NaN,1,1
124,0,0,0.25
125,0,1,1
126,0,1,1
127,NaN,1,0.75
128,NaN,0,0.25
129,0,1,1
130,0,1,1
131,1,1,0.75
132,1,0,0
133,1,1,0.75
134,NaN,1,1
135,0,1,0.75
136,NaN,1,1
137,1,1,1
138,1,1,1
139,1,1,0.75
140,NaN,0,0.25
141,1,0,0
142,NaN,0,0.25
143,1,0,0
144,NaN,0,0.25
145,1,0,0
146,NaN,0,0.25
147,0,0,0
148,1,0,0
149,NaN,0,0.25
150,NaN,0,0.25
151,NaN,0,0
152,NaN,1,1
153,0,0,0.25
154,0,1,0.75
155,1,0,0
156,0,0,0.25
157,1,0,0
158,0,0,0.25
159,1,0,0.25
160,0,0,0.25
161,0,0,0.25
162,NaN,0,0
163,NaN,0,0.25
164,NaN,0,0
165,NaN,0,0.25
166,1,1,0.75
167,NaN,0,0
168,NaN,0,0
169,NaN,0,0.25
170,0,1,1
171,1,1,0.75
172,1,1,0.75
173,1,1,1
174,1,1,0.75
175,0,1,1
176,1,1,0.75
177,NaN,1,1
178,0,1,0.75
179,0,1,0.75
180,0,1,1
181,0,0,0
182,1,1,1
183,0,1,0.75
184,0,1,1
185,0,0,0.25
186,0,1,1
187,0,1,0.75
188,NaN,1,0.75
189,0,1,1
190,0,1,0.75
191,NaN,0,0
192,1,1,1
193,0,1,0.75
194,0,1,1
195,0,1,0.75
196,0,1,0.75
197,0,1,1
198,1,1,0.75
199,0,1,1
