trial_number,response,observed,intensity
0,0,1,0.75
1,1,1,1
2,1,1,0.75
3,1,1,1
4,1,1,1
5,1,1,0.75
6,0,1,0.75
7,1,1,0.75
8,0,1,1
9,1,1,0.75
10,1,1,0.75
11,1,0,0
12,0,1,1
13,1,1,0.75
14,1,0,0.25
15,0,1,1
16,1,1,0.75
17,1,0,0
18,0,1,0.75
19,1,1,1
20,1,1,0.75
21,1,0,0
22,0,0,0.25
23,0,1,1
24,1,1,1
25,1,1,0.75
26,1,1,1
27,0,1,0.75
28,1,1,0.75
29,1,0,0
30,1,1,0.75
31,1,1,1
32,0,1,0.75
33,1,1,1
34,1,1,0.75
35,0,1,1
36,1,0,0.25
37,1,1,1
38,0,1,1
39,0,1,1
40,0,0,0.25
41,1,1,0.75
42,1,1,1
43,1,1,0.75
44,0,0,0.25
45,0,1,0.75
46,0,1,1
47,1,1,0.75
48,0,0,0
49,0,1,0.75
50,0,0,0
51,0,0,0.25
52,1,0,0
53,0,0,0
54,0,0,0.25
55,1,0,0
56,0,0,0.25
57,0,0,0
58,0,0,0
59,0,0,0
60,0,1,0.75
61,1,0,0.25
62,0,0,0
63,1,0,0
64,1,1,0.75
65,1,0,0.25
66,1,0,0
67,1,1,0.75
68,0,0,0
69,0,0,0.25
70,0,1,1
71,0,0,0
72,1,1,0.75
73,1,0,0
74,1,0,0
75,1,1,0.75
76,0,0,0
77,0,0,0
78,1,0,0
79,1,0,0.25
80,0,1,1
81,0,0,0.25
82,1,0,0.25
83,1,0,0
84,0,0,0
85,1,1,0.75
86,0,0,0
87,0,0,0.25
88,0,0,0
89,0,0,0.25
90,1,0,0.25
91,0,0,0
92,0,1,1
93,1,0,0.25
94,1,1,1
95,1,0,0.25
96,0,0,0.25
97,0,0,0
98,1,0,0
99,0,0,0
100,1,1,0.75
101,0,0,0
102,1,0,0.25
103,1,1,1
104,0,0,0.25
105,1,0,0
106,1,1,1
107,0,0,0
108,0,1,0.75
109,0,0,0.25
110,1,1,1
111,0,1,0.75
112,1,1,1
113,1,1,0.75
114,1,1,1
115,1,1,0.75
116,1,1,1
117,1,1,0.75
118,1,1,1
119,1,1,0.75
120,1,1,0.75
121,1,1,1
122,1,1,0.75
123,1,1,1
124,1,0,0.25
125,0,1,1
126,1,1,1
127,1,1,0.75
128,1,0,0.25
129,1,1,1
130,1,1,1
131,1,1,0.75
132,1,0,0
133,1,1,0.75
134,1,1,1
135,1,1,0.75
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,0.75
140,1,0,0.25
141,1,0,0
142,1,0,0.25
143,1,0,0
144,0,0,0.25
145,0,0,0
146,0,0,0.25
147,0,0,0
148,0,0,0
149,0,0,0.25
150,1,0,0.25
151,0,0,0
152,0,1,1
153,0,0,0.25
154,0,1,0.75
155,0,0,0
156,0,0,0.25
157,0,0,0
158,0,0,0.25
159,0,0,0.25
160,1,0,0.25
161,0,0,0.25
162,0,0,0
163,0,0,0.25
164,0,0,0
165,0,0,0.25
166,0,1,0.75
167,1,0,0
168,0,0,0
169,0,0,0.25
170,0,1,1
171,0,1,0.75
172,0,1,0.75
173,1,1,1
174,0,1,0.75
175,0,1,1
176,1,1,0.75
177,NaN,1,1
178,1,1,0.75
179,NaN,1,0.75
180,0,1,1
181,0,0,0
182,NaN,1,1
183,1,1,0.75
184,0,1,1
185,0,0,0.25
186,0,1,1
187,1,1,0.75
188,0,1,0.75
189,0,1,1
190,0,1,0.75
191,0,0,0
192,1,1,1
193,1,1,0.75
194,0,1,1
195,0,1,0.75
196,0,1,0.75
197,1,1,1
198,0,1,0.75
199,1,1,1
