trial_number,response,observed,intensity
0,1,1,0.75
1,1,1,1
2,1,1,0.75
3,1,1,1
4,0,1,1
5,1,1,0.75
6,0,1,0.75
7,1,1,0.75
8,1,1,1
9,1,1,0.75
10,1,1,0.75
11,0,0,0
12,0,1,1
13,1,1,0.75
14,1,0,0.25
15,1,1,1
16,0,1,0.75
17,1,0,0
18,1,1,0.75
19,1,1,1
20,1,1,0.75
21,0,0,0
22,0,0,0.25
23,1,1,1
24,0,1,1
25,1,1,0.75
26,0,1,1
27,1,1,0.75
28,NaN,1,0.75
29,1,0,0
30,0,1,0.75
31,0,1,1
32,0,1,0.75
33,0,1,1
34,0,1,0.75
35,0,1,1
36,1,0,0.25
37,1,1,1
38,0,1,1
39,1,1,1
40,0,0,0.25
41,1,1,0.75
42,1,1,1
43,0,1,0.75
44,0,0,0.25
45,1,1,0.75
46,0,1,1
47,1,1,0.75
48,1,0,0
49,1,1,0.75
50,0,0,0
51,1,0,0.25
52,1,0,0
53,1,0,0
54,0,0,0.25
55,1,0,0
56,1,0,0.25
57,0,0,0
58,0,0,0
59,1,0,0
60,0,1,0.75
61,0,0,0.25
62,1,0,0
63,1,0,0
64,0,1,0.75
65,1,0,0.25
66,1,0,0
67,1,1,0.75
68,0,0,0
69,0,0,0.25
70,1,1,1
71,1,0,0
72,1,1,0.75
73,1,0,0
74,1,0,0
75,0,1,0.75
76,0,0,0
77,1,0,0
78,1,0,0
79,1,0,0.25
80,0,1,1
81,1,0,0.25
82,1,0,0.25
83,1,0,0
84,0,0,0
85,1,1,0.75
86,1,0,0
87,0,0,0.25
88,0,0,0
89,1,0,0.25
90,1,0,0.25
91,1,0,0
92,0,1,1
93,1,0,0.25
94,0,1,1
95,1,0,0.25
96,1,0,0.25
97,1,0,0
98,NaN,0,0
99,0,0,0
100,1,1,0.75
101,0,0,0
102,0,0,0.25
103,0,1,1
104,0,0,0.25
105,1,0,0
106,0,1,1
107,1,0,0
108,0,1,0.75
109,1,0,0.25
110,0,1,1
111,0,1,0.75
112,1,1,1
113,1,1,0.75
114,0,1,1
115,1,1,0.75
116,1,1,1
117,1,1,0.75
118,1,1,1
119,0,1,0.75
120,0,1,0.75
121,0,1,1
122,1,1,0.75
123,1,1,1
124,0,0,0.25
125,0,1,1
126,1,1,1
127,1,1,0.75
128,1,0,0.25
129,1,1,1
130,0,1,1
131,1,1,0.75
132,1,0,0
133,1,1,0.75
134,1,1,1
135,0,1,0.75
136,1,1,1
137,0,1,1
138,0,1,1
139,NaN,1,0.75
140,0,0,0.25
141,1,0,0
142,1,0,0.25
143,0,0,0
144,1,0,0.25
145,1,0,0
146,1,0,0.25
147,1,0,0
148,1,0,0
149,0,0,0.25
150,0,0,0.25
151,0,0,0
152,1,1,1
153,1,0,0.25
154,1,1,0.75
155,1,0,0
156,1,0,0.25
157,0,0,0
158,0,0,0.25
159,1,0,0.25
160,1,0,0.25
161,1,0,0.25
162,0,0,0
163,0,0,0.25
164,0,0,0
165,1,0,0.25
166,0,1,0.75
167,0,0,0
168,1,0,0
169,0,0,0.25
170,1,1,1
171,1,1,0.75
172,NaN,1,0.75
173,1,1,1
174,0,1,0.75
175,1,1,1
176,1,1,0.75
177,0,1,1
178,1,1,0.75
179,0,1,0.75
180,0,1,1
181,0,0,0
182,0,1,1
183,1,1,0.75
184,0,1,1
185,1,0,0.25
186,0,1,1
187,0,1,0.75
188,1,1,0.75
189,0,1,1
190,0,1,0.75
191,0,0,0
192,0,1,1
193,1,1,0.75
194,1,1,1
195,0,1,0.75
196,1,1,0.75
197,0,1,1
198,0,1,0.75
199,0,1,1
