trial_number,response,observed,intensity
0,NaN,1,1
1,NaN,1,0.75
2,NaN,1,1
3,NaN,1,0.75
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,1
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,1,1
12,NaN,1,0.75
13,NaN,1,1
14,NaN,0,0.25
15,NaN,1,1
16,NaN,1,1
17,NaN,1,0.75
18,NaN,0,0.25
19,NaN,1,1
20,NaN,1,1
21,NaN,1,0.75
22,NaN,0,0
23,NaN,1,0.75
24,NaN,1,1
25,NaN,1,0.75
26,NaN,1,1
27,NaN,1,1
28,NaN,1,1
29,NaN,1,0.75
30,NaN,0,0.25
31,NaN,0,0
32,NaN,0,0.25
33,NaN,0,0
34,NaN,0,0.25
35,NaN,0,0
36,NaN,0,0.25
37,NaN,0,0
38,NaN,0,0
39,NaN,0,0.25
40,NaN,0,0.25
41,NaN,0,0
42,NaN,1,1
43,NaN,0,0.25
44,NaN,1,0.75
45,NaN,0,0
46,NaN,0,0.25
47,NaN,0,0
48,NaN,0,0.25
49,NaN,0,0.25
50,NaN,0,0.25
51,NaN,0,0.25
52,NaN,0,0
53,NaN,0,0.25
54,NaN,0,0
55,NaN,0,0.25
56,NaN,1,0.75
57,NaN,0,0
58,NaN,0,0
59,NaN,0,0.25
60,NaN,1,1
61,NaN,1,0.75
62,NaN,1,0.75
63,NaN,1,1
64,NaN,1,0.75
65,NaN,1,1
66,NaN,1,0.75
67,NaN,1,1
68,NaN,1,0.75
69,NaN,1,0.75
70,NaN,1,1
71,NaN,0,0
72,NaN,1,1
73,NaN,1,0.75
74,NaN,1,1
75,NaN,0,0.25
76,NaN,1,1
77,NaN,1,0.75
78,NaN,1,0.75
79,NaN,1,1
80,NaN,1,0.75
81,NaN,0,0
82,NaN,1,1
83,NaN,1,0.75
84,NaN,1,1
85,NaN,1,0.75
86,NaN,1,0.75
87,NaN,1,1
88,NaN,1,0.75
89,NaN,1,1
90,NaN,1,0.75
91,NaN,0,0
92,NaN,0,0.25
93,NaN,1,1
94,NaN,0,0.25
95,NaN,0,0
96,NaN,1,1
97,NaN,0,0
98,NaN,1,0.75
99,NaN,0,0.25
100,NaN,1,0.75
101,NaN,1,1
102,NaN,1,0.75
103,NaN,1,1
104,NaN,1,1
105,NaN,1,0.75
106,NaN,1,0.75
107,NaN,1,0.75
108,NaN,1,1
109,NaN,1,0.75
110,0,1,0.75
111,1,0,0
112,NaN,1,1
113,1,1,0.75
114,0,0,0.25
115,0,1,1
116,0,1,0.75
117,0,0,0
118,0,1,0.75
119,1,1,1
120,0,1,0.75
121,1,0,0
122,0,0,0.25
123,0,1,1
124,1,1,1
125,1,1,0.75
126,0,1,1
127,0,1,0.75
128,1,1,0.75
129,0,0,0
130,1,1,0.75
131,1,1,1
132,1,1,0.75
133,1,1,1
134,1,1,0.75
135,1,1,1
136,0,0,0.25
137,1,1,1
138,0,1,1
139,1,1,1
140,0,0,0.25
141,1,1,0.75
142,1,1,1
143,1,1,0.75
144,0,0,0.25
145,0,1,0.75
146,0,1,1
147,1,1,0.75
148,0,0,0
149,0,1,0.75
150,1,0,0
151,0,0,0.25
152,0,0,0
153,1,0,0
154,0,0,0.25
155,1,0,0
156,1,0,0.25
157,0,0,0
158,0,0,0
159,0,0,0
160,0,1,0.75
161,0,0,0.25
162,0,0,0
163,0,0,0
164,0,1,0.75
165,0,0,0.25
166,1,0,0
167,0,1,0.75
168,1,0,0
169,1,0,0.25
170,0,1,1
171,1,0,0
172,0,1,0.75
173,0,0,0
174,1,0,0
175,1,1,0.75
176,0,0,0
177,0,0,0
178,1,0,0
179,0,0,0.25
180,0,1,1
181,1,0,0.25
182,1,0,0.25
183,0,0,0
184,1,0,0
185,1,1,0.75
186,1,0,0
187,1,0,0.25
188,1,0,0
189,1,0,0.25
190,1,0,0.25
191,0,0,0
192,1,1,1
193,0,0,0.25
194,0,1,1
195,0,0,0.25
196,1,0,0.25
197,1,0,0
198,0,0,0
199,1,0,0
