trial_number,response,observed,intensity
0,NaN,1,0.75
1,NaN,1,1
2,NaN,1,0.75
3,NaN,1,1
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,0.75
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,0,0
12,NaN,1,1
13,NaN,1,0.75
14,NaN,0,0.25
15,NaN,1,1
16,NaN,1,0.75
17,NaN,0,0
18,NaN,1,0.75
19,NaN,1,1
20,NaN,1,0.75
21,NaN,0,0
22,NaN,0,0.25
23,NaN,1,1
24,NaN,1,1
25,NaN,1,0.75
26,NaN,1,1
27,NaN,1,0.75
28,NaN,1,0.75
29,NaN,0,0
30,NaN,1,0.75
31,NaN,1,1
32,NaN,1,0.75
33,NaN,1,1
34,NaN,1,0.75
35,NaN,1,1
36,NaN,0,0.25
37,NaN,1,1
38,NaN,1,1
39,NaN,1,1
40,NaN,0,0.25
41,NaN,1,0.75
42,NaN,1,1
43,NaN,1,0.75
44,NaN,0,0.25
45,NaN,1,0.75
46,NaN,1,1
47,NaN,1,0.75
48,NaN,0,0
49,NaN,1,0.75
50,NaN,0,0
51,NaN,0,0.25
52,NaN,0,0
53,NaN,0,0
54,NaN,0,0.25
55,NaN,0,0
56,NaN,0,0.25
57,NaN,0,0
58,0,0,0
59,1,0,0
60,0,1,0.75
61,0,0,0.25
62,0,0,0
63,0,0,0
64,1,1,0.75
65,1,0,0.25
66,1,0,0
67,1,1,0.75
68,0,0,0
69,1,0,0.25
70,1,1,1
71,1,0,0
72,1,1,0.75
73,1,0,0
74,0,0,0
75,1,1,0.75
76,1,0,0
77,0,0,0
78,0,0,0
79,0,0,0.25
80,0,1,1
81,0,0,0.25
82,1,0,0.25
83,1,0,0
84,0,0,0
85,0,1,0.75
86,1,0,0
87,1,0,0.25
88,0,0,0
89,1,0,0.25
90,NaN,0,0.25
91,1,0,0
92,1,1,1
93,0,0,0.25
94,1,1,1
95,1,0,0.25
96,1,0,0.25
97,0,0,0
98,0,0,0
99,1,0,0
100,0,1,0.75
101,1,0,0
102,0,0,0.25
103,NaN,1,1
104,1,0,0.25
105,1,0,0
106,0,1,1
107,0,0,0
108,1,1,0.75
109,1,0,0.25
110,0,1,1
111,NaN,1,0.75
112,0,1,1
113,0,1,0.75
114,0,1,1
115,1,1,0.75
116,1,1,1
117,0,1,0.75
118,1,1,1
119,0,1,0.75
120,0,1,0.75
121,1,1,1
122,1,1,0.75
123,1,1,1
124,1,0,0.25
125,0,1,1
126,1,1,1
127,0,1,0.75
128,0,0,0.25
129,1,1,1
130,0,1,1
131,1,1,0.75
132,0,0,0
133,0,1,0.75
134,1,1,1
135,1,1,0.75
136,1,1,1
137,1,1,1
138,1,1,1
139,1,1,0.75
140,1,0,0.25
141,1,0,0
142,0,0,0.25
143,1,0,0
144,1,0,0.25
145,0,0,0
146,1,0,0.25
147,0,0,0
148,0,0,0
149,1,0,0.25
150,1,0,0.25
151,1,0,0
152,1,1,1
153,0,0,0.25
154,0,1,0.75
155,0,0,0
156,0,0,0.25
157,1,0,0
158,1,0,0.25
159,1,0,0.25
160,1,0,0.25
161,0,0,0.25
162,1,0,0
163,0,0,0.25
164,1,0,0
165,1,0,0.25
166,0,1,0.75
167,1,0,0
168,0,0,0
169,1,0,0.25
170,1,1,1
171,0,1,0.75
172,0,1,0.75
173,1,1,1
174,0,1,0.75
175,0,1,1
176,1,1,0.75
177,0,1,1
178,1,1,0.75
179,1,1,0.75
180,1,1,1
181,1,0,0
182,0,1,1
183,1,1,0.75
184,0,1,1
185,0,0,0.25
186,1,1,1
187,0,1,0.75
188,0,1,0.75
189,1,1,1
190,0,1,0.75
191,1,0,0
192,1,1,1
193,0,1,0.75
194,0,1,1
195,0,1,0.75
196,1,1,0.75
197,1,1,1
198,0,1,0.75
199,1,1,1
