trial_number,response,observed,intensity
0,NaN,1,1
1,NaN,1,0.75
2,NaN,1,1
3,NaN,1,0.75
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,1
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,1,1
12,NaN,1,0.75
13,NaN,1,1
14,NaN,0,0.25
15,NaN,1,1
16,NaN,1,1
17,NaN,1,0.75
18,NaN,0,0.25
19,NaN,1,1
20,NaN,1,1
21,NaN,1,0.75
22,NaN,0,0
23,NaN,1,0.75
24,NaN,1,1
25,NaN,1,0.75
26,NaN,1,1
27,NaN,1,1
28,NaN,1,1
29,NaN,1,0.75
30,NaN,0,0.25
31,NaN,0,0
32,NaN,0,0.25
33,NaN,0,0
34,NaN,0,0.25
35,NaN,0,0
36,NaN,0,0.25
37,NaN,0,0
38,NaN,0,0
39,NaN,0,0.25
40,NaN,0,0.25
41,NaN,0,0
42,NaN,1,1
43,NaN,0,0.25
44,NaN,1,0.75
45,NaN,0,0
46,NaN,0,0.25
47,NaN,0,0
48,NaN,0,0.25
49,NaN,0,0.25
50,NaN,0,0.25
51,NaN,0,0.25
52,NaN,0,0
53,NaN,0,0.25
54,0,0,0
55,NaN,0,0.25
56,NaN,1,0.75
57,NaN,0,0
58,NaN,0,0
59,NaN,0,0.25
60,NaN,1,1
61,NaN,1,0.75
62,NaN,1,0.75
63,NaN,1,1
64,NaN,1,0.75
65,NaN,1,1
66,NaN,1,0.75
67,NaN,1,1
68,NaN,1,0.75
69,NaN,1,0.75
70,NaN,1,1
71,NaN,0,0
72,NaN,1,1
73,NaN,1,0.75
74,NaN,1,1
75,NaN,0,0.25
76,NaN,1,1
77,NaN,1,0.75
78,NaN,1,0.75
79,NaN,1,1
80,NaN,1,0.75
81,NaN,0,0
82,NaN,1,1
83,NaN,1,0.75
84,NaN,1,1
85,NaN,1,0.75
86,NaN,1,0.75
87,NaN,1,1
88,NaN,1,0.75
89,NaN,1,1
90,NaN,1,0.75
91,NaN,0,0
92,NaN,0,0.25
93,NaN,1,1
94,NaN,0,0.25
95,NaN,0,0
96,NaN,1,1
97,NaN,0,0
98,NaN,1,0.75
99,NaN,0,0.25
100,NaN,1,0.75
101,NaN,1,1
102,NaN,1,0.75
103,NaN,1,1
104,NaN,1,1
105,NaN,1,0.75
106,NaN,1,0.75
107,NaN,1,0.75
108,NaN,1,1
109,NaN,1,0.75
110,NaN,1,0.75
111,NaN,0,0
112,NaN,1,1
113,NaN,1,0.75
114,0,0,0.25
115,NaN,1,1
116,NaN,1,0.75
117,NaN,0,0
118,NaN,1,0.75
119,NaN,1,1
120,NaN,1,0.75
121,NaN,0,0
122,NaN,0,0.25
123,NaN,1,1
124,NaN,1,1
125,NaN,1,0.75
126,NaN,1,1
127,NaN,1,0.75
128,NaN,1,0.75
129,NaN,0,0
130,NaN,1,0.75
131,NaN,1,1
132,NaN,1,0.75
133,NaN,1,1
134,NaN,1,0.75
135,NaN,1,1
136,NaN,0,0.25
137,NaN,1,1
138,NaN,1,1
139,NaN,1,1
140,NaN,0,0.25
141,NaN,1,0.75
142,NaN,1,1
143,NaN,1,0.75
144,NaN,0,0.25
145,NaN,1,0.75
146,NaN,1,1
147,NaN,1,0.75
148,NaN,0,0
149,NaN,1,0.75
150,NaN,0,0
151,NaN,0,0.25
152,NaN,0,0
153,NaN,0,0
154,NaN,0,0.25
155,NaN,0,0
156,NaN,0,0.25
157,NaN,0,0
158,NaN,0,0
159,NaN,0,0
160,NaN,1,0.75
161,NaN,0,0.25
162,NaN,0,0
163,NaN,0,0
164,NaN,1,0.75
165,NaN,0,0.25
166,NaN,0,0
167,NaN,1,0.75
168,NaN,0,0
169,NaN,0,0.25
170,NaN,1,1
171,NaN,0,0
172,NaN,1,0.75
173,NaN,0,0
174,NaN,0,0
175,NaN,1,0.75
176,NaN,0,0
177,NaN,0,0
178,NaN,0,0
179,NaN,0,0.25
180,NaN,1,1
181,NaN,0,0.25
182,NaN,0,0.25
183,NaN,0,0
184,NaN,0,0
185,NaN,1,0.75
186,NaN,0,0
187,NaN,0,0.25
188,NaN,0,0
189,NaN,0,0.25
190,NaN,0,0.25
191,NaN,0,0
192,NaN,1,1
193,NaN,0,0.25
194,NaN,1,1
195,NaN,0,0.25
196,NaN,0,0.25
197,NaN,0,0
198,NaN,0,0
199,NaN,0,0
