trial_number,response,observed,intensity
0,NaN,1,0.75
1,NaN,1,1
2,NaN,1,0.75
3,NaN,1,1
4,NaN,1,1
5,NaN,1,0.75
6,NaN,1,0.75
7,NaN,1,0.75
8,NaN,1,1
9,NaN,1,0.75
10,NaN,1,0.75
11,NaN,0,0
12,NaN,1,1
13,NaN,1,0.75
14,NaN,0,0.25
15,NaN,1,1
16,NaN,1,0.75
17,NaN,0,0
18,NaN,1,0.75
19,NaN,1,1
20,NaN,1,0.75
21,NaN,0,0
22,NaN,0,0.25
23,NaN,1,1
24,NaN,1,1
25,NaN,1,0.75
26,NaN,1,1
27,NaN,1,0.75
28,NaN,1,0.75
29,NaN,0,0
30,NaN,1,0.75
31,NaN,1,1
32,0,1,0.75
33,NaN,1,1
34,NaN,1,0.75
35,NaN,1,1
36,NaN,0,0.25
37,1,1,1
38,NaN,1,1
39,NaN,1,1
40,NaN,0,0.25
41,NaN,1,0.75
42,NaN,1,1
43,NaN,1,0.75
44,NaN,0,0.25
45,NaN,1,0.75
46,NaN,1,1
47,NaN,1,0.75
48,NaN,0,0
49,NaN,1,0.75
50,NaN,0,0
51,NaN,0,0.25
52,NaN,0,0
53,NaN,0,0
54,NaN,0,0.25
55,NaN,0,0
56,NaN,0,0.25
57,NaN,0,0
58,0,0,0
59,NaN,0,0
60,NaN,1,0.75
61,NaN,0,0.25
62,NaN,0,0
63,NaN,0,0
64,NaN,1,0.75
65,NaN,0,0.25
66,NaN,0,0
67,NaN,1,0.75
68,NaN,0,0
69,NaN,0,0.25
70,NaN,1,1
71,NaN,0,0
72,1,1,0.75
73,NaN,0,0
74,NaN,0,0
75,NaN,1,0.75
76,NaN,0,0
77,NaN,0,0
78,0,0,0
79,NaN,0,0.25
80,NaN,1,1
81,NaN,0,0.25
82,NaN,0,0.25
83,NaN,0,0
84,NaN,0,0
85,NaN,1,0.75
86,NaN,0,0
87,NaN,0,0.25
88,NaN,0,0
89,NaN,0,0.25
90,NaN,0,0.25
91,NaN,0,0
92,NaN,1,1
93,NaN,0,0.25
94,NaN,1,1
95,NaN,0,0.25
96,NaN,0,0.25
97,NaN,0,0
98,NaN,0,0
99,NaN,0,0
100,NaN,1,0.75
101,NaN,0,0
102,1,0,0.25
103,NaN,1,1
104,NaN,0,0.25
105,NaN,0,0
106,NaN,1,1
107,NaN,0,0
108,NaN,1,0.75
109,NaN,0,0.25
110,NaN,1,1
111,NaN,1,0.75
112,NaN,1,1
113,NaN,1,0.75
114,NaN,1,1
115,NaN,1,0.75
116,NaN,1,1
117,NaN,1,0.75
118,NaN,1,1
119,NaN,1,0.75
120,NaN,1,0.75
121,NaN,1,1
122,NaN,1,0.75
123,NaN,1,1
124,NaN,0,0.25
125,NaN,1,1
126,NaN,1,1
127,NaN,1,0.75
128,NaN,0,0.25
129,NaN,1,1
130,0,1,1
131,NaN,1,0.75
132,NaN,0,0
133,NaN,1,0.75
134,NaN,1,1
135,NaN,1,0.75
136,NaN,1,1
137,NaN,1,1
138,NaN,1,1
139,NaN,1,0.75
140,NaN,0,0.25
141,NaN,0,0
142,NaN,0,0.25
143,NaN,0,0
144,NaN,0,0.25
145,NaN,0,0
146,NaN,0,0.25
147,NaN,0,0
148,NaN,0,0
149,0,0,0.25
150,NaN,0,0.25
151,NaN,0,0
152,NaN,1,1
153,NaN,0,0.25
154,NaN,1,0.75
155,NaN,0,0
156,NaN,0,0.25
157,NaN,0,0
158,NaN,0,0.25
159,NaN,0,0.25
160,NaN,0,0.25
161,NaN,0,0.25
162,NaN,0,0
163,NaN,0,0.25
164,NaN,0,0
165,NaN,0,0.25
166,NaN,1,0.75
167,NaN,0,0
168,1,0,0
169,0,0,0.25
170,0,1,1
171,NaN,1,0.75
172,NaN,1,0.75
173,1,1,1
174,1,1,0.75
175,1,1,1
176,NaN,1,0.75
177,1,1,1
178,0,1,0.75
179,1,1,0.75
180,0,1,1
181,1,0,0
182,NaN,1,1
183,0,1,0.75
184,0,1,1
185,1,0,0.25
186,0,1,1
187,0,1,0.75
188,0,1,0.75
189,0,1,1
190,0,1,0.75
191,1,0,0
192,0,1,1
193,0,1,0.75
194,0,1,1
195,0,1,0.75
196,1,1,0.75
197,1,1,1
198,1,1,0.75
199,1,1,1
