trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration,block_num
1,angry,low,high,1.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,1
2,sad,high,low,1,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,1
3,angry,low,high,0.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,1
4,sad,high,low,0.5,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,1
5,sad,high,high,1.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,1
6,angry,low,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,1
7,sad,high,high,1.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,1
8,angry,low,low,1,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,1
9,sad,high,high,0.5,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,1
10,sad,high,low,1,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,1
11,angry,low,low,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,1
12,angry,low,high,0.5,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,1
13,angry,low,low,1.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,1
14,sad,high,high,1,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,1
15,sad,low,low,1.5,0.9,30,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,1
16,angry,low,high,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,1
17,angry,low,high,1.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,1
18,sad,high,low,0.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,1
19,angry,high,low,1.5,0.9,30,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,1
20,sad,high,high,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,1
21,angry,low,high,0.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,1
22,sad,high,low,1,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,1
23,angry,high,high,1.5,0.9,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,1
24,sad,high,low,1.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,1
25,angry,low,high,1,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,1
26,sad,high,low,0.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,1
27,angry,low,high,1.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,1
28,angry,low,high,1,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,1
29,sad,high,high,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,1
30,angry,low,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,1
31,sad,low,low,1.5,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,2
32,sad,low,high,0.5,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,2
33,angry,high,low,1.5,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,2
34,sad,low,high,1,0.1,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,2
35,angry,high,low,1,0.1,30,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,2
36,sad,low,high,0.5,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,2
37,angry,high,low,1,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,2
